epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,3077.25,0.19876,1.52478,0,0.31898,0.85374,0.92777,0.91653,0.94929,0.93439,0.89893,0.86588,0.87578,0.72934,0.16631,1.57034,0,0.26622,0.69242,0.0002773,0.0002773,0.0002773
75,3117.58,0.1992,1.53117,0,0.31924,0.85271,0.94231,0.90102,0.95465,0.93883,0.90047,0.87028,0.88094,0.72965,0.16829,1.55713,0,0.26447,0.68845,0.0002674,0.0002674,0.0002674
76,3160.55,0.19591,1.49836,0,0.31783,0.85135,0.92402,0.91297,0.95248,0.93662,0.88545,0.86769,0.8758,0.7302,0.16674,1.56895,0,0.2651,0.68908,0.0002575,0.0002575,0.0002575
77,3201.31,0.19473,1.52881,0,0.31372,0.85143,0.93184,0.92242,0.95002,0.93681,0.89576,0.87021,0.87776,0.72866,0.16644,1.56917,0,0.2514,0.69158,0.0002476,0.0002476,0.0002476
78,3241.6,0.19587,1.53166,0,0.31425,0.8528,0.92479,0.91545,0.94681,0.93185,0.89285,0.85509,0.8694,0.71951,0.16757,1.57139,0,0.2631,0.69266,0.0002377,0.0002377,0.0002377
79,3282.25,0.18883,1.52046,0,0.29953,0.85144,0.92524,0.91624,0.95046,0.93513,0.88785,0.86759,0.87308,0.72289,0.16447,1.55309,0,0.26458,0.68676,0.0002278,0.0002278,0.0002278
80,3322.59,0.18799,1.54212,0,0.30652,0.84882,0.93333,0.90716,0.94744,0.93253,0.88901,0.8616,0.87179,0.72639,0.15944,1.55063,0,0.25877,0.6842,0.0002179,0.0002179,0.0002179
81,3363.29,0.18918,1.50137,0,0.30697,0.85392,0.92183,0.92054,0.94706,0.93329,0.89554,0.86275,0.86665,0.7209,0.15651,1.5562,0,0.255,0.68291,0.000208,0.000208,0.000208
82,3403.75,0.18517,1.54737,0,0.29787,0.84587,0.92526,0.92373,0.94996,0.93513,0.88901,0.86464,0.86939,0.72318,0.15613,1.56151,0,0.25102,0.68277,0.0001981,0.0001981,0.0001981
83,3444.34,0.18651,1.50968,0,0.30136,0.85071,0.92589,0.91749,0.94376,0.93048,0.89583,0.87046,0.87283,0.73173,0.16295,1.56925,0,0.26629,0.6888,0.0001882,0.0001882,0.0001882
84,3484.81,0.18444,1.46882,0,0.30197,0.84949,0.92603,0.90761,0.94715,0.9336,0.89288,0.86481,0.87913,0.73189,0.15986,1.55689,0,0.27194,0.68735,0.0001783,0.0001783,0.0001783
85,3525.43,0.17969,1.46992,0,0.28586,0.84385,0.91546,0.92449,0.94847,0.93386,0.89741,0.86967,0.87305,0.73395,0.15977,1.55645,0,0.27594,0.68682,0.0001684,0.0001684,0.0001684
86,3565.94,0.1792,1.50177,0,0.29104,0.84602,0.92529,0.91097,0.94799,0.93556,0.89201,0.86311,0.87366,0.72689,0.15628,1.55475,0,0.26978,0.6813,0.0001585,0.0001585,0.0001585
87,3606.47,0.17613,1.46836,0,0.28764,0.84601,0.93408,0.90915,0.94972,0.93575,0.89778,0.86829,0.87705,0.72977,0.15615,1.55649,0,0.25624,0.68519,0.0001486,0.0001486,0.0001486
88,3646.91,0.17654,1.47522,0,0.28248,0.84678,0.93081,0.91462,0.94698,0.9327,0.89124,0.86599,0.87581,0.72722,0.1566,1.55166,0,0.26137,0.68714,0.0001387,0.0001387,0.0001387
89,3687.73,0.17128,1.4454,0,0.27878,0.84413,0.93189,0.91489,0.947,0.93328,0.90049,0.87155,0.87654,0.72967,0.15324,1.55164,0,0.26162,0.68268,0.0001288,0.0001288,0.0001288
90,3728.22,0.17091,1.48894,0,0.27059,0.84536,0.92381,0.91347,0.94488,0.93121,0.89438,0.8676,0.87255,0.72685,0.15353,1.54963,0,0.27125,0.68296,0.0001189,0.0001189,0.0001189
91,3770.94,0.14859,1.02111,0,0.22739,0.80909,0.93067,0.91427,0.94574,0.93198,0.89444,0.86628,0.86023,0.71285,0.15828,1.55154,0,0.25468,0.6835,0.000109,0.000109,0.000109
92,3811.4,0.14875,0.96066,0,0.22026,0.80809,0.92191,0.92327,0.94671,0.93329,0.89451,0.85969,0.86081,0.71935,0.16037,1.55339,0,0.25873,0.68431,9.91e-05,9.91e-05,9.91e-05
93,3851.95,0.14226,0.95456,0,0.21367,0.80603,0.93061,0.91569,0.94571,0.93276,0.8969,0.86588,0.86199,0.72029,0.15432,1.54659,0,0.24915,0.68194,8.92e-05,8.92e-05,8.92e-05
94,3892.24,0.13922,0.95881,0,0.20163,0.80784,0.93886,0.91119,0.94933,0.93652,0.89068,0.86276,0.87104,0.72971,0.15492,1.54726,0,0.24935,0.68157,7.93e-05,7.93e-05,7.93e-05
95,3932.44,0.13688,0.95222,0,0.20366,0.80863,0.93734,0.91045,0.94817,0.93357,0.89177,0.86641,0.86967,0.72659,0.15122,1.54484,0,0.25906,0.68077,6.94e-05,6.94e-05,6.94e-05
96,3972.77,0.13296,0.9811,0,0.19726,0.80442,0.92783,0.92195,0.95101,0.93686,0.8912,0.8652,0.87147,0.72579,0.15144,1.5447,0,0.24765,0.6812,5.95e-05,5.95e-05,5.95e-05
97,4013.01,0.12979,0.92265,0,0.18742,0.80273,0.93506,0.91822,0.9494,0.93513,0.89257,0.86754,0.87489,0.73352,0.14813,1.54136,0,0.25128,0.68021,4.96e-05,4.96e-05,4.96e-05
98,4053.79,0.12822,0.9245,0,0.18486,0.80489,0.93564,0.91503,0.94917,0.93554,0.89254,0.86578,0.87086,0.7293,0.14778,1.54045,0,0.25592,0.67894,3.97e-05,3.97e-05,3.97e-05
99,4094.17,0.12566,0.92615,0,0.17652,0.8035,0.94089,0.91035,0.9465,0.93506,0.89448,0.86697,0.87377,0.7326,0.14786,1.54121,0,0.25476,0.68017,2.98e-05,2.98e-05,2.98e-05
100,4134.5,0.12214,0.9447,0,0.17436,0.80152,0.92651,0.92503,0.94802,0.93648,0.8931,0.86472,0.87342,0.73051,0.14643,1.53831,0,0.2502,0.6796,1.99e-05,1.99e-05,1.99e-05
